Route Name,Method,URL,Output Variable Name,Variable Type,Example,Source
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,clinical_stage,string,IIB,Inferred from Request
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,pathological_stage,string,IIB,Inferred from Request
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,staging_system,string,AJCC 8th,Inferred from Request
Create/Update Staging,PUT,{{baseUrl}}/patients/{{patientId}}/staging,staging_date,string,2024-01-20,Inferred from Request
Get Treatment,GET,{{baseUrl}}/patients/{{patientId}}/treatment,N/A,N/A,N/A,No Example
Create/Update Treatment,PUT,{{baseUrl}}/patients/{{patientId}}/treatment,regimen_name,string,AC-T,Inferred from Request
Create/Update Treatment,PUT,{{baseUrl}}/patients/{{patientId}}/treatment,treatment_intent,string,adjuvant,Inferred from Request
Create/Update Treatment,PUT,{{baseUrl}}/patients/{{patientId}}/treatment,treatment_line,string,first-line,Inferred from Request
Create/Update Treatment,PUT,{{baseUrl}}/patients/{{patientId}}/treatment,protocol,string,AC-T Protocol,Inferred from Request
Create/Update Treatment,PUT,{{baseUrl}}/patients/{{patientId}}/treatment,drugs[],string,Doxorubicin,Inferred from Request
Create/Update Treatment,PUT,{{baseUrl}}/patients/{{patientId}}/treatment,start_date,string,2024-02-01,Inferred from Request
Create/Update Treatment,PUT,{{baseUrl}}/patients/{{patientId}}/treatment,total_planned_cycles,integer,8,Inferred from Request
Create/Update Treatment,PUT,{{baseUrl}}/patients/{{patientId}}/treatment,treatment_status,string,active,Inferred from Request
Get All Treatment Cycles,GET,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,N/A,N/A,N/A,No Example
Get Specific Cycle,GET,{{baseUrl}}/patients/{{patientId}}/treatment/cycles/1,N/A,N/A,N/A,No Example
Add Treatment Cycle,POST,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,cycle_number,integer,1,Inferred from Request
Add Treatment Cycle,POST,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,planned_date,string,2024-02-01,Inferred from Request
Add Treatment Cycle,POST,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,actual_date,string,2024-02-01,Inferred from Request
Add Treatment Cycle,POST,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,drugs_administered[].drug,string,Doxorubicin,Inferred from Request
Add Treatment Cycle,POST,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,drugs_administered[].dose,integer,60,Inferred from Request
Add Treatment Cycle,POST,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,drugs_administered[].unit,string,mg/m2,Inferred from Request
Add Treatment Cycle,POST,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,drugs_administered[].route,string,IV,Inferred from Request
Add Treatment Cycle,POST,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,cycle_status,string,completed,Inferred from Request
Add Treatment Cycle,POST,{{baseUrl}}/patients/{{patientId}}/treatment/cycles,dose_percentage,float,100.0,Inferred from Request
Update Treatment Cycle,PUT,{{baseUrl}}/patients/{{patientId}}/treatment/cycles/1,adverse_events[].event,string,Nausea,Inferred from Request
Update Treatment Cycle,PUT,{{baseUrl}}/patients/{{patientId}}/treatment/cycles/1,adverse_events[].grade,integer,2,Inferred from Request
Update Treatment Cycle,PUT,{{baseUrl}}/patients/{{patientId}}/treatment/cycles/1,ctcae_grade,integer,2,Inferred from Request
Search Documents (RAG),POST,{{baseUrl}}/patients/{{patientId}}/documents/search,query,string,breast cancer diagnosis,Inferred from Request
Search Documents (RAG),POST,{{baseUrl}}/patients/{{patientId}}/documents/search,top_k,integer,5,Inferred from Request
Reorder Documents,POST,{{baseUrl}}/patients/{{patientId}}/documents/reorder,document_orders[].document_id,string,doc_123,Inferred from Request
Reorder Documents,POST,{{baseUrl}}/patients/{{patientId}}/documents/reorder,document_orders[].order,integer,1,Inferred from Request
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,success,boolean,True,API Docs
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,patient.id,string,pt_abc123,API Docs
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,patient.name,string,John Doe,API Docs
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,patient.age,integer,65,API Docs
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,sections.diagnosis_staging.summary,string,Stage IIA Adenocarcinoma,API Docs
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,sections.diagnosis_staging.last_updated,integer,1638360000,API Docs
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,sections.imaging_findings.summary,string,3.2cm mass in right upper lobe,API Docs
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,sections.imaging_findings.last_updated,integer,1638360000,API Docs
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,sections.lab_results.summary,string,"Mild anemia, otherwise WNL",API Docs
Get Patient Summary,GET,{{baseUrl}}/patients/{{patientId}}/summary,sections.lab_results.last_updated,integer,1638360000,API Docs
Get Diagnosis & Staging,GET,{{baseUrl}}/patients/{{patientId}}/detailed/diagnosis_staging,N/A,N/A,N/A,No Example
Get Imaging Findings,GET,{{baseUrl}}/patients/{{patientId}}/detailed/imaging_findings,N/A,N/A,N/A,No Example
Get Lab Results,GET,{{baseUrl}}/patients/{{patientId}}/detailed/lab_results,N/A,N/A,N/A,No Example
Get Timeline,GET,{{baseUrl}}/patients/{{patientId}}/timeline,success,boolean,True,API Docs
Get Timeline,GET,{{baseUrl}}/patients/{{patientId}}/timeline,patient.id,string,pt_abc123,API Docs
Get Timeline,GET,{{baseUrl}}/patients/{{patientId}}/timeline,patient.name,string,John Doe,API Docs
Get Timeline,GET,{{baseUrl}}/patients/{{patientId}}/timeline,timeline[].date,string,2025-01-15,API Docs
Get Timeline,GET,{{baseUrl}}/patients/{{patientId}}/timeline,timeline[].events[].id,string,evt_123,API Docs
Get Timeline,GET,{{baseUrl}}/patients/{{patientId}}/timeline,timeline[].events[].event_type,string,diagnosis,API Docs
Get Timeline,GET,{{baseUrl}}/patients/{{patientId}}/timeline,timeline[].events[].title,string,Biopsy Confirmation,API Docs
Get Timeline,GET,{{baseUrl}}/patients/{{patientId}}/timeline,timeline[].events[].description,string,Invasive ductal carcinoma confirmed,API Docs
Get Timeline,GET,{{baseUrl}}/patients/{{patientId}}/timeline,timeline[].events[].source_document_id,string,doc_123,API Docs
Get Timeline Tracks,GET,{{baseUrl}}/patients/{{patientId}}/timeline/tracks,success,boolean,True,API Docs
Get Timeline Tracks,GET,{{baseUrl}}/patients/{{patientId}}/timeline/tracks,tracks.diagnosis[],string,evt_123,API Docs
Get Timeline Tracks,GET,{{baseUrl}}/patients/{{patientId}}/timeline/tracks,tracks.treatment[],string,evt_789,API Docs
Get Timeline Tracks,GET,{{baseUrl}}/patients/{{patientId}}/timeline/tracks,tracks.imaging[],string,evt_234,API Docs
List Medications,GET,{{localUrl}}/patients/{{patientId}}/medications,N/A,N/A,N/A,No Example
Create Medication,POST,{{localUrl}}/patients/{{patientId}}/medications,medication_name,string,Cisplatin,Inferred from Request
Create Medication,POST,{{localUrl}}/patients/{{patientId}}/medications,dose,integer,50,Inferred from Request
Create Medication,POST,{{localUrl}}/patients/{{patientId}}/medications,dose_unit,string,mg,Inferred from Request
Create Medication,POST,{{localUrl}}/patients/{{patientId}}/medications,frequency,string,q3w,Inferred from Request
Create Medication,POST,{{localUrl}}/patients/{{patientId}}/medications,route,string,IV,Inferred from Request
Create Medication,POST,{{localUrl}}/patients/{{patientId}}/medications,medication_status,string,active,Inferred from Request
Update Medication,PUT,{{localUrl}}/patients/{{patientId}}/medications/{{medicationId}},medication_status,string,discontinued,Inferred from Request
Update Medication,PUT,{{localUrl}}/patients/{{patientId}}/medications/{{medicationId}},discontinuation_reason,string,Completed regimen,Inferred from Request
Delete Medication,DELETE,{{localUrl}}/patients/{{patientId}}/medications/{{medicationId}},N/A,N/A,N/A,No Example
List Alerts,GET,{{localUrl}}/patients/{{patientId}}/alerts,N/A,N/A,N/A,No Example
Create Alert,POST,{{localUrl}}/patients/{{patientId}}/alerts,alert_type,string,clinical,Inferred from Request
Create Alert,POST,{{localUrl}}/patients/{{patientId}}/alerts,severity,string,high,Inferred from Request
Create Alert,POST,{{localUrl}}/patients/{{patientId}}/alerts,title,string,Neutropenia risk,Inferred from Request
Create Alert,POST,{{localUrl}}/patients/{{patientId}}/alerts,description,string,ANC trending down,Inferred from Request
Update Alert,PUT,{{localUrl}}/patients/{{patientId}}/alerts/{{alertId}},alert_status,string,acknowledged,Inferred from Request
Update Alert,PUT,{{localUrl}}/patients/{{patientId}}/alerts/{{alertId}},acknowledged_by,string,usr_admin,Inferred from Request
Delete Alert,DELETE,{{localUrl}}/patients/{{patientId}}/alerts/{{alertId}},N/A,N/A,N/A,No Example
List Lab Results,GET,{{localUrl}}/patients/{{patientId}}/labs,N/A,N/A,N/A,No Example
Create Lab Result,POST,{{localUrl}}/patients/{{patientId}}/labs,test_name,string,Hemoglobin,Inferred from Request
Create Lab Result,POST,{{localUrl}}/patients/{{patientId}}/labs,result_value,float,10.5,Inferred from Request
Create Lab Result,POST,{{localUrl}}/patients/{{patientId}}/labs,result_unit,string,g/dL,Inferred from Request
Create Lab Result,POST,{{localUrl}}/patients/{{patientId}}/labs,test_date,string,2025-01-01,Inferred from Request
Update Lab Result,PUT,{{localUrl}}/patients/{{patientId}}/labs/{{labId}},result_value,float,11.2,Inferred from Request
Update Lab Result,PUT,{{localUrl}}/patients/{{patientId}}/labs/{{labId}},is_abnormal,boolean,False,Inferred from Request
Delete Lab Result,DELETE,{{localUrl}}/patients/{{patientId}}/labs/{{labId}},N/A,N/A,N/A,No Example
List Medical History,GET,{{localUrl}}/patients/{{patientId}}/history/medical,N/A,N/A,N/A,No Example
Add Medical History,POST,{{localUrl}}/patients/{{patientId}}/history/medical,condition,string,Hypertension,Inferred from Request
Add Medical History,POST,{{localUrl}}/patients/{{patientId}}/history/medical,diagnosis_date,string,2010-01-01,Inferred from Request
List Surgical History,GET,{{localUrl}}/patients/{{patientId}}/history/surgical,N/A,N/A,N/A,No Example
Add Surgical History,POST,{{localUrl}}/patients/{{patientId}}/history/surgical,procedure_name,string,Appendectomy,Inferred from Request
Add Surgical History,POST,{{localUrl}}/patients/{{patientId}}/history/surgical,surgery_date,string,2015-05-05,Inferred from Request
List Family History,GET,{{localUrl}}/patients/{{patientId}}/history/family,N/A,N/A,N/A,No Example
Add Family History,POST,{{localUrl}}/patients/{{patientId}}/history/family,relationship,string,mother,Inferred from Request
Add Family History,POST,{{localUrl}}/patients/{{patientId}}/history/family,condition,string,Breast cancer,Inferred from Request
List Social History,GET,{{localUrl}}/patients/{{patientId}}/history/social,N/A,N/A,N/A,No Example
Add Social History,POST,{{localUrl}}/patients/{{patientId}}/history/social,tobacco_use,string,never,Inferred from Request
Add Social History,POST,{{localUrl}}/patients/{{patientId}}/history/social,alcohol_use,string,occasional,Inferred from Request
List Decisions,GET,{{localUrl}}/patients/{{patientId}}/decisions,N/A,N/A,N/A,No Example
Create Decision,POST,{{localUrl}}/patients/{{patientId}}/decisions,decision_type,string,treatment_plan,Inferred from Request
Create Decision,POST,{{localUrl}}/patients/{{patientId}}/decisions,clinical_question,string,Next line therapy?,Inferred from Request
Create Decision,POST,{{localUrl}}/patients/{{patientId}}/decisions,decision_made,string,Start AC-T,Inferred from Request
Update Decision,PUT,{{localUrl}}/patients/{{patientId}}/decisions/{{decisionId}},implementation_status,string,in_progress,Inferred from Request
Delete Decision,DELETE,{{localUrl}}/patients/{{patientId}}/decisions/{{decisionId}},N/A,N/A,N/A,No Example
